       0         0        0
 -296.2685  -26.5984  178.6902
  -56.4952   41.2683 -174.1292
  -95.3760  174.9842 -216.6379
  253.8206   10.3116  267.4968
  348.4253 -273.0367 -340.4264
 -321.2258 -166.9776 -333.8350
 -102.8627  305.8985  -44.6446
  359.3283   64.3661 -312.7049
  -61.1875   28.2409  345.1582
  -85.9335  314.8310   92.8080
 -284.7027 -175.9472  112.5562
   64.5208  296.5681 -123.9076
 -254.6491   41.1236  -17.6401
  -88.8655  171.8531 -348.3059
  314.1738  132.7110 -215.9797
  144.2661 -259.4118  258.1162
 -185.0874  340.9118 -311.3711
  174.3260  -54.3314 -136.2610
 -124.8208 -305.1276  235.1684
  -93.6292 -282.2931   80.5453
   -5.1883  340.0137  298.5123
 -215.5547   50.6544  276.5595
 -152.9515  -11.6461 -183.3746
 -149.3330  104.3926  329.9054
  -50.5126 -202.8928  -34.3464
  -15.7588  140.3301  279.7619
  310.9824 -183.0551  -25.3077
  242.0854   96.2057   61.3594
 -151.2175  331.2987 -351.5911
  329.8140  163.0238  164.4735
  160.5948  338.1540  -60.9837
  262.6617  188.7414 -274.5810
   16.7399   18.0690   69.3046
 -322.0065  -38.3110 -356.6247
  331.2111   99.6206  316.4074
  123.9898 -138.8608  137.8167
 -312.8639  -40.7477 -164.3054
  344.9780  118.9944  182.6909
 -147.7116  232.0396  113.9990
  323.9344 -130.3047 -155.7287
 -235.1377  113.0724   25.6424
 -359.3487    3.8905 -316.6444
  272.4879 -246.6389  127.7476
  252.3865 -140.3449  304.4758
 -117.7855 -284.3271  -24.0202
 -289.2023  266.8477  -94.4567
   92.2458  128.8445  300.5236
  -71.7000  235.3502 -351.6674
  308.1978  321.1699  309.0493
  274.0361   94.0348  139.2606
   85.7382    9.6496  231.2907
  283.6373   40.3164  257.5706
 -209.4816  350.9503 -280.3846
 -174.0256   91.3691  147.5996
 -357.0301  253.4522   37.1998
 -294.8741   -7.0196   14.8520
   68.9904 -345.6297 -134.1131
 -144.4948 -184.4414 -243.7813
  198.3123   36.0540 -129.7960
  102.5207 -286.8717  123.1680
 -230.7265  -18.4953   17.2446
 -155.9951 -234.3376   77.6163
 -262.1845 -125.7241  187.4268
   45.7168 -280.5219 -242.0190
 -256.1355  -51.6697   -4.0596
  256.3585  157.6732  190.5754
 -338.1059  192.6839 -143.4157
  252.2332  307.5733  243.9832
 -192.3836  185.0069  129.4615
  183.5543 -120.6013 -123.5080
 -319.3989  274.0028   27.5498
  149.5054   18.4390  243.2282
 -227.4328 -167.5150 -185.0566
  356.1138 -238.8839 -345.9715
   12.0238 -327.5919   77.3846
   27.4687 -237.0420   27.9310
 -164.5099  306.5583 -197.0284
  -87.6550 -281.7910  302.3575
    8.7455  240.5875  313.9166
   11.1014 -250.6932   -8.1867
  -22.3678  256.2308  142.2920
 -248.9996   70.9686   11.9417
 -205.1092 -217.6069 -154.6318
  104.5244  214.2220 -353.1957
   76.4202  206.9177 -149.0762
 -228.7115 -291.1787  119.8688
  264.7378 -236.5576 -248.3335
   19.9570   74.0247 -197.5841
  341.6671 -125.9291  271.8879
 -154.4509 -167.5549   76.1238
  323.3383  208.2958  105.7059
   77.4758   83.9617 -310.1883
  199.0712  134.2542 -202.6471
 -314.2930  142.1520  201.5959
   65.6331  311.0548   92.9358
  287.8254 -273.4646 -309.1562
    7.0474   76.9581  113.1974
   23.6410   -7.2953   14.1548
  214.9745   21.3850  322.2213
