0.5  0.9  1
0.25  3.7  4.3
12.4  8.3  7.3
0.1  0.55  0.65
0.5  0.9  1
0.25  3.7  4.3
12.4  8.3  7.3
0.1  0.55  0.65
0.5  0.9  1
0.25  3.7  4.3
12.4  8.3  7.3
0.1  0.55  0.65
0.5  0.9  1
0.25  3.7  4.3
12.4  8.3  7.3
0.1  0.55  0.65
0.5  0.9  1
0.25  3.7  4.3
12.4  8.3  7.3
0.1  0.55  0.65
0.5  0.9  1
0.25  3.7  4.3
12.4  8.3  7.3
0.1  0.55  0.65
0.5  0.9  1
0.25  3.7  4.3
12.4  8.3  7.3
0.1  0.55  0.65
0.5  0.9  1
0.25  3.7  4.3
12.4  8.3  7.3
0.1  0.55  0.65
0.5  0.9  1
0.25  3.7  4.3
12.4  8.3  7.3
0.1  0.55  0.65
0.5  0.9  1
0.25  3.7  4.3
12.4  8.3  7.3
0.1  0.55  0.65
0.5  0.9  1
0.25  3.7  4.3
12.4  8.3  7.3
0.1  0.55  0.65
0.5  0.9  1
0.25  3.7  4.3
12.4  8.3  7.3
0.1  0.55  0.65
0.5  0.9  1
0.25  3.7  4.3
12.4  8.3  7.3
0.1  0.55  0.65
0.5  0.9  1
0.25  3.7  4.3
12.4  8.3  7.3
0.1  0.55  0.65
0.5  0.9  1
0.25  3.7  4.3
12.4  8.3  7.3
0.1  0.55  0.65
0.5  0.9  1
0.25  3.7  4.3
12.4  8.3  7.3
0.1  0.55  0.65
0.5  0.9  1
0.25  3.7  4.3
12.4  8.3  7.3
0.1  0.55  0.65
0.5  0.9  1
0.25  3.7  4.3
12.4  8.3  7.3
0.1  0.55  0.65
0.5  0.9  1
0.25  3.7  4.3
12.4  8.3  7.3
0.1  0.55  0.65
0.5  0.9  1
0.25  3.7  4.3
12.4  8.3  7.3
0.1  0.55  0.65
0.5  0.9  1
0.25  3.7  4.3
12.4  8.3  7.3
0.1  0.55  0.65
0.5  0.9  1
0.25  3.7  4.3
12.4  8.3  7.3
0.1  0.55  0.65
0.5  0.9  1
0.25  3.7  4.3
12.4  8.3  7.3
0.1  0.55  0.65
0.5  0.9  1
0.25  3.7  4.3
12.4  8.3  7.3
0.1  0.55  0.65
0.5  0.9  1
0.25  3.7  4.3
12.4  8.3  7.3
0.1  0.55  0.65
0.5  0.9  1
0.25  3.7  4.3
12.4  8.3  7.3
0.1  0.55  0.65
0.5  0.9  1
0.25  3.7  4.3
12.4  8.3  7.3
0.1  0.55  0.65
0.5  0.9  1
0.25  3.7  4.3
12.4  8.3  7.3
0.1  0.55  0.65
0.5  0.9  1
0.25  3.7  4.3
12.4  8.3  7.3
0.1  0.55  0.65
0.5  0.9  1
0.25  3.7  4.3
12.4  8.3  7.3
0.1  0.55  0.65
0.5  0.9  1
0.25  3.7  4.3
12.4  8.3  7.3
0.1  0.55  0.65
0.5  0.9  1
0.25  3.7  4.3
12.4  8.3  7.3
0.1  0.55  0.65
0.5  0.9  1
0.25  3.7  4.3
12.4  8.3  7.3
0.1  0.55  0.65
0.5  0.9  1
0.25  3.7  4.3
12.4  8.3  7.3
0.1  0.55  0.65
0.5  0.9  1
0.25  3.7  4.3
12.4  8.3  7.3
0.1  0.55  0.65
0.5  0.9  1
0.25  3.7  4.3
12.4  8.3  7.3
0.1  0.55  0.65
0.5  0.9  1
0.25  3.7  4.3
12.4  8.3  7.3
0.1  0.55  0.65
0.5  0.9  1
0.25  3.7  4.3
12.4  8.3  7.3
0.1  0.55  0.65
0.5  0.9  1
0.25  3.7  4.3
12.4  8.3  7.3
0.1  0.55  0.65
0.5  0.9  1
0.25  3.7  4.3
12.4  8.3  7.3
0.1  0.55  0.65
0.5  0.9  1
0.25  3.7  4.3
12.4  8.3  7.3
0.1  0.55  0.65
0.5  0.9  1
0.25  3.7  4.3
12.4  8.3  7.3
0.1  0.55  0.65
0.5  0.9  1
0.25  3.7  4.3
12.4  8.3  7.3
0.1  0.55  0.65
0.5  0.9  1
0.25  3.7  4.3
12.4  8.3  7.3
0.1  0.55  0.65
0.5  0.9  1
0.25  3.7  4.3
12.4  8.3  7.3
0.1  0.55  0.65
0.5  0.9  1
0.25  3.7  4.3
12.4  8.3  7.3
0.1  0.55  0.65
0.5  0.9  1
0.25  3.7  4.3
12.4  8.3  7.3
0.1  0.55  0.65
0.5  0.9  1
0.25  3.7  4.3
12.4  8.3  7.3
0.1  0.55  0.65
0.5  0.9  1
0.25  3.7  4.3
12.4  8.3  7.3
0.1  0.55  0.65
0.5  0.9  1
0.25  3.7  4.3
12.4  8.3  7.3
0.1  0.55  0.65
0.5  0.9  1
0.25  3.7  4.3
12.4  8.3  7.3
0.1  0.55  0.65
0.5  0.9  1
0.25  3.7  4.3
12.4  8.3  7.3
0.1  0.55  0.65
0.5  0.9  1
0.25  3.7  4.3
12.4  8.3  7.3
0.1  0.55  0.65
0.5  0.9  1
0.25  3.7  4.3
12.4  8.3  7.3
0.1  0.55  0.65
0.5  0.9  1
0.25  3.7  4.3
12.4  8.3  7.3
0.1  0.55  0.65
0.5  0.9  1
0.25  3.7  4.3
12.4  8.3  7.3
0.1  0.55  0.65
0.5  0.9  1
0.25  3.7  4.3
12.4  8.3  7.3
0.1  0.55  0.65
0.5  0.9  1
0.25  3.7  4.3
12.4  8.3  7.3
0.1  0.55  0.65
0.5  0.9  1
0.25  3.7  4.3
12.4  8.3  7.3
0.1  0.55  0.65
0.5  0.9  1
0.25  3.7  4.3
12.4  8.3  7.3
0.1  0.55  0.65
0.5  0.9  1
0.25  3.7  4.3
12.4  8.3  7.3
0.1  0.55  0.65
0.5  0.9  1
